Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Population_mln,Life_expectancy
Ecuador,South America,2020,22.4,26.6,154.9855,13.14,73.4
Senegal,Africa,2015,34.7,49.4,190.0275,14.58,66.7
Kiribati,Oceania,2023,49.4,64.7,213.586,0.09,64.5
Serbia,Rest of Europe,2023,7.7,8.9,142.495,7.44,72.8
"Egypt, Arab Rep.",Africa,2018,37.1,46.6,175.924,68.83,68.6
Panama,Central America and Caribbean,2021,16,18.7,119.297,3.77,77.2
Tanzania,Africa,2021,65.6,106.5,429.3055,36.34,52.9
Cyprus,European Union,2023,3.8,4.5,63.682,1.03,78.6
Eritrea,Africa,2020,51.6,77.3,372.128,2.48,56.5
Sierra Leone,Africa,2019,107.2,160.6,425.103,6.42,49.4
Estonia,European Union,2021,3,3.9,133.087,1.32,76.3
Eswatini,Africa,2020,69.6,117.7,624.685,1.02,44.4
Fiji,Oceania,2018,20.1,23.7,199.509,0.85,66.6
St. Vincent and the Grenadines,Central America and Caribbean,2017,18.5,20.8,165.5335,0.11,71.6
North Macedonia,Rest of Europe,2023,12.2,13.7,115.753,2.04,73.7
Greece,European Union,2022,3.6,4.1,72.0015,10.97,81.3
United Arab Emirates,Middle East,2017,7.9,9.2,76.8985,7.09,76
"Egypt, Arab Rep.",Africa,2018,25,29.9,162.699,81.13,70.2
Kazakhstan,Asia,2019,18.2,20.4,236.9465,16.32,68.5
Ukraine,Rest of Europe,2016,11.5,13.4,271.3425,46.51,68.2
Mozambique,Africa,2021,66.4,96.3,368.724,24.86,53.9
Bosnia and Herzegovina,Rest of Europe,2019,6.3,7.2,102.9815,3.71,76
Nepal,Asia,2021,50.6,66.4,215.7345,25.08,64.2
Oman,Middle East,2018,14.2,16.5,130.341,2.27,72.1
Qatar,Middle East,2020,10,11.6,68.394,0.64,77.8
St. Lucia,Central America and Caribbean,2015,19.5,21.9,136.3935,0.18,75.6
Grenada,Central America and Caribbean,2016,12.5,14.6,160.869,0.11,73.1
Zambia,Africa,2021,73.2,125.4,569.503,11.26,46.3
Togo,Africa,2015,64.6,100.1,329.281,5.76,55.1
Zambia,Africa,2019,51.2,79,382.8695,13.61,55.7
Jamaica,Central America and Caribbean,2018,15.8,18.5,142.157,2.8,74.1
Benin,Africa,2021,79.8,127.4,280.0665,7.52,56.4
"Congo, Dem. Rep.",Africa,2019,104.4,154.9,338.642,48.43,50.7
Ukraine,Rest of Europe,2017,11.1,12.9,268.4445,46.26,68.3
Costa Rica,Central America and Caribbean,2019,10.5,12.6,98.266,4.03,77.6
United Kingdom,Rest of Europe,2015,5,5.9,80.04,60.85,79.2
Colombia,South America,2015,13.4,15.5,140.0675,47.52,76.5
Morocco,Africa,2023,21.3,24.9,72.144,34.19,75.5
Libya,Africa,2022,12.3,14.4,137.147,6.32,71.9
Bosnia and Herzegovina,Rest of Europe,2017,6.9,7.9,105.6105,3.75,75.7
Tajikistan,Asia,2015,32.6,37.5,134.715,8.45,70.1
South Africa,Africa,2023,29.4,37.6,367.7435,54.54,62
Fiji,Oceania,2016,20.1,23.7,204.926,0.84,66.4
Nigeria,Africa,2022,97.8,160.3,401.9865,135.32,47.7
Philippines,Asia,2015,26,33.6,210.145,87.89,69.2
Guinea,Africa,2019,96.2,157.4,332.612,8.42,51.3
Mauritania,Africa,2020,60,93,210,3.6,62.8
Argentina,South America,2022,15.3,17.1,133.0055,38.49,74.3
Maldives,Asia,2023,9.1,10.5,70.354,0.44,77.4
Central African Republic,Africa,2023,90.5,128.2,425.1035,4.46,50.1
Eswatini,Africa,2023,68.3,119.4,597.7545,1.03,42.5
Germany,European Union,2020,4.2,5.1,91.2495,82.49,78.2
Maldives,Asia,2017,13.8,16.1,78.1485,0.34,75.1
Trinidad and Tobago,Central America and Caribbean,2015,22.4,25.2,185.282,1.3,71
Barbados,Central America and Caribbean,2018,13.9,15.1,108.625,0.28,78.3
Luxembourg,European Union,2018,2.4,2.9,73.2125,0.5,80.6
Malaysia,Asia,2020,6.8,8,126.7315,28.65,74.7
Oman,Middle East,2021,11.9,13.8,118.7185,2.39,73.4
Sierra Leone,Africa,2023,95.6,139.2,401.9615,7.02,52.4
Israel,Middle East,2020,3.5,4.4,59.725,7.77,81.7
Luxembourg,European Union,2022,2.9,3.5,86.0865,0.46,79.1
Iraq,Middle East,2022,33.1,40.9,175.9275,26.31,68.4
Liberia,Africa,2019,71.8,99.8,267.442,3.89,59.6
Sri Lanka,Asia,2017,10.5,12.2,124.8175,19.98,75.2
Malaysia,Asia,2022,7.1,8.3,129.9325,25.19,73.4
Malaysia,Asia,2019,8.1,9.4,132.819,23.71,72.8
Myanmar,Asia,2019,63.8,87.1,237.811,47.23,60.4
France,European Union,2019,3.1,4.2,84.668,65.03,81.7
Bolivia,South America,2021,29.6,37,192.7545,10.38,69
Ukraine,Rest of Europe,2023,12.5,14.5,276.8135,47.11,68
Thailand,Asia,2023,14.8,17.2,179.3555,65.42,72.1
Slovak Republic,European Union,2018,5.9,7.2,129.606,5.39,74.9
Ghana,Africa,2019,47,69.1,259.173,24.78,61
Algeria,Africa,2023,28.8,33.6,118.7855,33.15,73.1
Netherlands,European Union,2022,4.6,5.5,76.488,16.28,79.1
Azerbaijan,Asia,2021,50.1,59.7,159.492,8.23,67.8
Italy,European Union,2019,4.5,5.3,74.622,56.97,80.1
Chile,South America,2020,8.3,9.8,104.85,15.68,76.9
Myanmar,Asia,2022,43.8,56.2,199.4,51.85,64.9
Cote d'Ivoire,Africa,2018,95.6,143.3,456.1585,16.45,49.6
Austria,European Union,2015,3,3.7,64.6875,8.64,81.2
New Zealand,Oceania,2023,5.5,6.6,77.0035,4.13,79.9
Tanzania,Africa,2021,44,65.3,287.067,47.05,60.5
"Iran, Islamic Rep.",Middle East,2021,25.1,30.2,141.0335,68.12,71.3
Guyana,South America,2023,28.1,34.1,210.868,0.76,69
"Gambia, The",Africa,2018,61.6,113.4,300.7215,1.32,56
Peru,South America,2015,19.3,24.9,139.7105,28.1,73.2
Namibia,Africa,2020,36.9,48.9,383.243,2.16,58.1
Switzerland,Rest of Europe,2017,4,4.7,59.218,7.65,82
St. Vincent and the Grenadines,Central America and Caribbean,2020,17.3,19.2,159.928,0.11,71.8
Lebanon,Middle East,2019,8.7,10.2,67.7015,4.95,78.4
Latvia,European Union,2019,6.5,7.8,180.8715,2.1,73.5
Cabo Verde,Africa,2018,22.7,27,134.1865,0.49,70.9
Ecuador,South America,2022,20.7,24.4,149.1315,13.6,73.9
Moldova,Rest of Europe,2015,13.6,15.8,171.2775,2.83,71.5
Bolivia,South America,2019,33,41.6,200.5385,10.05,68
"Venezuela, RB",South America,2021,16.9,19.8,156.3825,25.55,72.6
Malta,European Union,2017,5.9,6.8,57.259,0.41,79.6
Bosnia and Herzegovina,Rest of Europe,2021,8.1,9.2,113.603,3.76,74.9
Pakistan,Asia,2023,76.6,96.3,180.861,160.3,64
Bhutan,Asia,2022,29.6,36.2,216.1,0.71,69.7
Canada,North America,2019,5,5.7,69.0295,34,81.2
Uruguay,South America,2019,14.4,16.5,123.728,3.33,74.9
Madagascar,Africa,2020,62.5,96.5,271.224,16.77,59.7
St. Vincent and the Grenadines,Central America and Caribbean,2019,17.8,19.8,161.7965,0.11,71.8
Tajikistan,Asia,2022,34.2,39.4,137.093,8.06,69.6
Burundi,Africa,2019,91.9,149.4,355.612,6.53,49.9
Morocco,Africa,2018,43.9,52.3,152.9405,28.79,68.7
Libya,Africa,2017,16.1,18.8,132.4335,6.06,72.2
Japan,Asia,2022,2.1,2.9,57.102,127.45,83.3
Lithuania,European Union,2022,4.1,5,178.7025,2.96,73.9
Portugal,European Union,2020,4.7,6.1,106.0975,10.42,77.1
"Congo, Rep.",Africa,2015,37.6,52.6,262.224,4.86,63.1
Zambia,Africa,2015,58.4,98.5,496.876,12.17,49.8
Namibia,Africa,2016,37.6,60.8,500.1645,2.01,52.6
Australia,Oceania,2015,4.7,5.6,65.59,20.7,81
Cameroon,Africa,2018,87.6,143.9,411.085,15.51,51
"Egypt, Arab Rep.",Africa,2016,27.1,32.7,167.5755,78.23,69.8
Papua New Guinea,Oceania,2015,48.7,63.5,245.9055,6.65,60.8
Lao PDR,Asia,2023,63.6,86.8,243.807,5.75,61.6
Lithuania,European Union,2022,7.4,9.3,205.9795,3.38,72
Malta,European Union,2018,6.9,7.8,64.045,0.39,78.3
Ecuador,South America,2020,15.6,18.1,131.6005,15.24,75.3
"Congo, Dem. Rep.",Africa,2021,99.9,145.7,325.9935,51.43,52.1
Dominican Republic,Central America and Caribbean,2023,29.8,36.4,178.7195,9.1,70.8
Spain,European Union,2021,4.1,5,80.6985,42.19,79.6
Czechia,European Union,2020,2.6,3.3,95.5795,10.5,77.9
Syrian Arab Republic,Middle East,2021,17.7,20.7,118.895,17.42,74
Argentina,South America,2020,12.4,13.9,122.669,41.26,75.4
Rwanda,Africa,2020,90.3,149.6,423.329,8.43,51
Brunei Darussalam,Asia,2020,8.1,9.8,91.9455,0.39,74.9
Guinea,Africa,2020,73.1,115.3,286.4,10.42,57.4
Namibia,Africa,2015,33.3,47.6,315.473,2.31,62.1
Guatemala,Central America and Caribbean,2022,25.6,30.7,168.019,15.04,72.6
Nepal,Asia,2023,30.5,37.4,158.944,26.91,69.2
Zambia,Africa,2020,79.2,136.1,593.712,10.97,45.4
Solomon Islands,Oceania,2016,23.8,28.4,184.517,0.49,69.8
Syrian Arab Republic,Middle East,2018,19.6,23,122.6915,16.41,73.1
Antigua and Barbuda,Central America and Caribbean,2023,6.8,8.1,131.452,0.09,76.3
Serbia,Rest of Europe,2018,10.9,12.6,149.9165,7.52,71.6
Moldova,Rest of Europe,2019,23.9,28.6,238.655,2.92,67.2
Panama,Central America and Caribbean,2020,16.5,19.3,120.477,3.71,77
Grenada,Central America and Caribbean,2021,13.5,15.5,145.097,0.11,72.7
Uruguay,South America,2020,14.1,16.2,120.9975,3.33,75.2
Barbados,Central America and Caribbean,2019,14,15.3,125.1375,0.27,77.4
Mauritius,Africa,2019,15.3,17.5,169.8725,1.2,71.8
North Macedonia,Rest of Europe,2020,8.8,10,103.787,2.06,75.1
Haiti,Central America and Caribbean,2015,63.8,87.2,282.083,9.34,59
Armenia,Rest of Europe,2018,27,30.6,149.064,3.07,71.4
South Africa,Africa,2019,47.8,73.1,460.7075,45.57,55.1
United Arab Emirates,Middle East,2015,8.2,9.6,81.046,5.3,75.6
Suriname,South America,2020,20.1,22.5,177,0.54,70.7
Burundi,Africa,2016,70.4,110.5,340.312,7.86,54.9
Georgia,Rest of Europe,2022,10.2,11.4,161.53,3.72,72.4
Canada,North America,2017,5.1,5.9,72.9125,33.25,80.7
Ethiopia,Africa,2022,73.1,115.3,353.864,74.24,55.2
Cote d'Ivoire,Africa,2016,81.1,118.2,430.5715,19.17,51.1
Ecuador,South America,2016,18.5,21.7,140.35,14.3,74.5
Finland,European Union,2023,2.1,2.6,72.193,5.46,81.2
Senegal,Africa,2023,36.2,52.3,193.5185,14.17,66.4
Turkiye,Middle East,2020,14.5,16.9,113.8015,73.44,74.9
Tunisia,Africa,2018,16.2,18.9,99.6225,10.53,74.9
"Bahamas, The",Central America and Caribbean,2022,14.4,16.8,180.7985,0.32,72
Guatemala,Central America and Caribbean,2021,36.8,46.2,198.056,12.42,69.1
Barbados,Central America and Caribbean,2023,13.3,14.3,100.3405,0.28,78.7
Netherlands,European Union,2018,5.1,6.2,83.609,15.93,78
Uganda,Africa,2018,52.1,81.5,369.69,31.41,56.1
Uruguay,South America,2017,10.3,11.8,114.3705,3.34,76.4
Luxembourg,European Union,2023,2.3,2.8,58.7975,0.56,82.2
Switzerland,Rest of Europe,2016,4.1,4.8,62.047,7.55,81.7
Costa Rica,Central America and Caribbean,2017,9.5,10.9,93.787,4.46,78.5
"Gambia, The",Africa,2022,54.7,95.6,290.417,1.5,57.6
South Africa,Africa,2019,34.4,52,449.3985,51.22,57.7
Brunei Darussalam,Asia,2019,8,10.1,104.114,0.34,73.1
Panama,Central America and Caribbean,2019,17,19.9,121.6565,3.64,76.8
Lesotho,Africa,2015,74.5,116.5,592.0125,1.99,42.6
Azerbaijan,Asia,2023,44.1,51.9,150.584,8.39,68.7
South Africa,Africa,2016,46.6,75.3,522.8285,49.12,54.5
Nicaragua,Central America and Caribbean,2023,17.3,20.2,150.6365,6.14,73.4
"Iran, Islamic Rep.",Middle East,2019,16.5,19.3,104.022,73.76,73.9
Jamaica,Central America and Caribbean,2020,18,21.1,166.4425,2.69,74.1
Lesotho,Africa,2019,70.9,96.4,548.4965,2,45.1
Oman,Middle East,2018,10.2,11.8,100.71,2.88,75.4
"Egypt, Arab Rep.",Africa,2021,22.2,26.3,155.3845,86.42,70.7
Ghana,Africa,2018,64.3,99.7,299.502,19.28,57
Japan,Asia,2018,2.4,3.3,63.037,128.05,82.9
Spain,European Union,2021,2.9,3.6,61.3175,46.77,82.4
Spain,European Union,2020,3,3.7,63.491,46.74,82.5
Croatia,European Union,2020,4.5,5.3,99.7905,4.28,76.8
Uganda,Africa,2018,87.1,146.1,537.6,23.65,46.2
Serbia,Rest of Europe,2015,7.3,8.4,139.896,7.41,73.4
Czechia,European Union,2020,4.1,5,118.748,10.2,75.2
Sierra Leone,Africa,2018,138.1,224.9,531.3245,4.58,39.4
Lebanon,Middle East,2018,9.2,10.7,69.5575,4.81,78.2
Czechia,European Union,2019,2.7,3.4,97.8545,10.47,77.4
Philippines,Asia,2020,27.8,36.2,213.186,81.37,68.9
Dominican Republic,Central America and Caribbean,2020,31.1,38.1,184.5125,8.72,70
Sri Lanka,Asia,2018,14.2,16.5,165.2695,18.78,71.3
Cyprus,European Union,2023,2.4,2.9,52.635,1.15,80.2
Latvia,European Union,2019,10.8,13.3,232.029,2.34,70.8
Benin,Africa,2023,76.5,121.5,270.725,7.98,57.4
Madagascar,Africa,2021,60.2,92.4,268.6985,17.28,60.3
Pakistan,Asia,2018,84.6,107.8,188.328,142.34,62.8
Cote d'Ivoire,Africa,2017,78.7,114.2,427.1045,19.61,51.7
Grenada,Central America and Caribbean,2019,12.8,15.2,176.8515,0.1,72.8
Finland,European Union,2018,3.5,4.3,103.8765,5.18,77.5
Kiribati,Oceania,2018,49.8,65.2,208.5885,0.1,65.5
Bulgaria,European Union,2022,11.8,14.2,154.1315,7.72,72.6
Cambodia,Asia,2023,28.7,33.4,179.3025,15.27,68.3
Nicaragua,Central America and Caribbean,2018,31.4,38.5,196.9585,5.07,69.5
Guyana,South America,2019,36.2,45.2,229.173,0.75,65.5
Ethiopia,Africa,2018,57,86.7,279.805,85.23,60.6
Turkmenistan,Asia,2019,37.2,43.1,200.751,5.09,66.7
Lithuania,European Union,2016,6.5,8,237.8385,3.23,70.9
Russian Federation,Rest of Europe,2019,14.7,18.3,307.7435,145.98,65.4
Cabo Verde,Africa,2021,20.3,24,131.7085,0.51,71.4
Myanmar,Asia,2023,57.4,77.2,225.6425,48.95,61.6
Portugal,European Union,2017,3.2,4,89.2665,10.56,78.5
Uruguay,South America,2020,8.9,10.3,110.371,3.37,76.9
Ukraine,Rest of Europe,2023,8.4,9.8,203.08,45.27,71.2
Ireland,European Union,2022,4.7,5.6,81.2525,4.07,78.5
Denmark,European Union,2021,3.5,4.1,75.094,5.59,80.1
Tanzania,Africa,2020,69.9,114,446.4505,35.33,52.1
Botswana,Africa,2019,44.6,80,574.7605,1.67,50.3
Sri Lanka,Asia,2015,11.6,13.5,129.7315,19.7,74.9
Malta,European Union,2022,5.8,6.6,53.4165,0.43,81.7
Uzbekistan,Asia,2022,40.1,46.8,182.4795,25.86,68.1
Serbia,Rest of Europe,2020,6.4,7.4,124.594,7.23,74.5
Finland,European Union,2018,2.6,3.2,89.883,5.34,79.7
Austria,European Union,2020,4.4,5.3,89.4275,8.08,78.7
Suriname,South America,2015,22.9,25.7,192.5215,0.51,69.2
Mali,Africa,2023,68.7,112.4,272.427,16.93,57
Croatia,European Union,2017,5.1,5.9,104.768,4.31,75.9
Niger,Africa,2023,53.4,98,253.126,19.24,60.1
Kazakhstan,Asia,2018,36.7,42.5,290.732,14.88,65.5
Croatia,European Union,2022,4.3,5.1,95.4975,4.26,77.1
Japan,Asia,2016,2.6,3.5,65.136,128,82.5
India,Asia,2018,66.7,91.7,221.6305,1056.58,62.5
Norway,Rest of Europe,2023,2.3,2.8,56.476,5.14,82.1
Togo,Africa,2018,59.8,91.7,309.5725,6.25,56.8
Belize,Central America and Caribbean,2021,18.5,21.7,193.551,0.27,69.5
Vietnam,Asia,2017,18.8,23.5,133.6115,86.24,74.6
Ethiopia,Africa,2020,51.9,77.7,252.8295,90.14,62.5
Cote d'Ivoire,Africa,2022,69.1,97,407.6445,22.09,54.9
Mali,Africa,2020,96.1,174.7,318.8575,11.62,49.5
Turkiye,Middle East,2022,12.7,14.7,109.578,75.93,75.8
Netherlands,European Union,2018,3.8,4.6,65.6915,16.53,80.5
"Yemen, Rep.",Middle East,2017,48,62.4,241.32,21.89,64.9
Niger,Africa,2016,71.3,149,276.348,14.69,55
Papua New Guinea,Oceania,2023,49.6,64.9,250.8075,6.49,60.5
Chad,Africa,2018,85.8,151.7,387.5995,11.56,50.3
Mauritius,Africa,2021,13,14.9,147.395,1.26,73.9
North Macedonia,Rest of Europe,2020,12.8,14.3,119.958,2.02,73
"Micronesia, Fed. Sts.",Oceania,2023,28.6,34.7,177.472,0.11,65.5
Eritrea,Africa,2021,49.6,73.8,360.1825,2.6,57.2
Zimbabwe,Africa,2015,42.1,61.3,368.141,13.81,59.5
Italy,European Union,2020,4.3,5,72.478,57.06,80.2
United Kingdom,Rest of Europe,2021,4.1,4.8,69.147,63.7,80.9
Lesotho,Africa,2020,69,93.9,538.191,2,46.2
United States,North America,2016,6.6,7.7,109.026,301.23,78
Solomon Islands,Oceania,2017,23.3,27.8,179.355,0.5,70.1
Nigeria,Africa,2023,80.1,127.9,360.3385,176.4,52.7
Bulgaria,European Union,2022,7.8,9.3,133.448,7.27,74.9
Poland,European Union,2018,8.1,9.3,152.9305,38.26,73.7
Zimbabwe,Africa,2021,46.5,72.2,423.442,13.12,55
Iceland,Rest of Europe,2022,2.7,3.4,61.9875,0.29,81
Malta,European Union,2015,5.7,6.6,51.8135,0.45,81.9
Georgia,Rest of Europe,2020,27.7,31.5,168.977,3.98,70.2
Ethiopia,Africa,2021,76.7,121.8,369.5585,72.17,54.2
Belgium,European Union,2022,3.4,4.2,75.9595,11.16,80.6
New Zealand,Oceania,2017,5.2,6.3,73.0145,4.26,80.4
Sierra Leone,Africa,2022,97.7,141.2,406.0525,6.86,51.7
Singapore,Asia,2021,2.5,3.2,71.202,4.11,79
Slovak Republic,European Union,2016,6.4,7.7,137.7115,5.37,74.2
Nepal,Asia,2020,53.1,70.4,221.783,24.73,63.6
Tonga,Oceania,2021,11,12.8,138.9635,0.1,70.2
"Bahamas, The",Central America and Caribbean,2021,12.8,14.9,163.272,0.36,72.4
Kenya,Africa,2015,35.2,48.9,223.608,47.88,64.8
Cameroon,Africa,2017,72.7,117.6,368.451,19.25,54.2
Timor-Leste,Oceania,2015,62.1,76.1,189.4355,1.02,64.8
Canada,North America,2021,5.3,6.2,77.6255,31.64,79.7
Lithuania,European Union,2020,4.5,5.5,184.524,3.03,73.6
Armenia,Rest of Europe,2022,22.2,25,141.353,3,72.5
Bangladesh,Asia,2023,32.5,40.1,132.246,154.52,71.2
Germany,European Union,2015,3.8,4.6,82.246,82.38,79.1
Papua New Guinea,Oceania,2021,43,55.2,230.8385,7.63,62.6
Tonga,Oceania,2023,12.7,14.7,150.2735,0.1,69.8
Cambodia,Asia,2021,32.3,37.7,186.6,14.78,67.5
"Gambia, The",Africa,2023,53.1,91.5,287.749,1.54,57.9
Bosnia and Herzegovina,Rest of Europe,2018,6.6,7.5,104.296,3.74,75.8
Djibouti,Africa,2019,62.5,76.6,272.2445,0.84,60.1
Ukraine,Rest of Europe,2015,12,14,263.497,46.79,68.1
Eswatini,Africa,2019,69,115.8,591.9355,1.01,45.8
Mongolia,Asia,2023,17.4,20.4,215.2245,2.94,68.9
Canada,North America,2022,5.3,6.1,75.8795,31.94,79.9
Costa Rica,Central America and Caribbean,2023,9.9,11.3,95.7985,4.29,78.1
Vietnam,Asia,2019,22.6,28.5,138.4385,80.74,73.2
Slovenia,European Union,2022,2.3,2.8,77.3625,2.06,80.3
Poland,European Union,2020,4.9,5.7,126.5725,38.06,76.7
Mozambique,Africa,2019,106.1,161,440.8905,18.22,49.3
Philippines,Asia,2022,26.9,34.9,211.6655,84.71,69
New Zealand,Oceania,2020,5.8,7,82.496,3.95,78.8
Chad,Africa,2018,99.7,184,406.9915,8.36,47.7
Sao Tome and Principe,Central America and Caribbean,2018,29.7,39.3,199.2275,0.18,66.9
Australia,Oceania,2020,5,6,71.935,19.65,79.9
Montenegro,Rest of Europe,2015,3.3,4,100.861,0.62,76.4
Cambodia,Asia,2021,61.8,78,236.439,12.86,61.2
Gabon,Africa,2022,49,75.8,319.386,1.35,57.9
Singapore,Asia,2015,2.3,2.9,65.786,4.4,80.1
Fiji,Oceania,2021,20,23.5,191.3835,0.87,66.9
Greece,European Union,2015,3.8,4.4,70.7555,10.82,81
Mongolia,Asia,2019,45.3,58.5,266.119,2.42,63.3
Vietnam,Asia,2021,21,26.4,136.971,82.3,73.7
Bosnia and Herzegovina,Rest of Europe,2022,7.9,9.1,111.9335,3.76,75.1
Barbados,Central America and Caribbean,2022,14.4,15.7,118.7115,0.28,77.8
Lao PDR,Asia,2015,61.1,82.9,237.688,5.85,62.2
Brunei Darussalam,Asia,2016,7.7,9.5,91.9455,0.37,74.4
Malta,European Union,2019,5.8,6.7,55.7385,0.41,81.4
Honduras,Central America and Caribbean,2022,25.5,30.6,164.069,7.28,71.8
Switzerland,Rest of Europe,2021,3.8,4.4,53.4515,8,82.7
Tajikistan,Asia,2022,50.4,60.1,161.477,6.66,65.3
Bangladesh,Asia,2022,34,42.2,134.7385,152.76,70.9
Philippines,Asia,2023,26.4,34.2,210.905,86.33,69.1
Kyrgyz Republic,Asia,2023,20.9,23.5,171.816,5.84,70.4
Lebanon,Middle East,2019,16,18.7,97.5565,3.99,75
North Macedonia,Rest of Europe,2023,9.9,11.2,98.63,2.07,75.5
Botswana,Africa,2023,38.9,67,498.38,1.8,52.1
Russian Federation,Rest of Europe,2019,8.3,10.4,250.947,142.85,68.8
Uruguay,South America,2023,12.5,14.4,117.821,3.32,75.8
Slovak Republic,European Union,2020,7.6,9.1,145.3625,5.38,73.6
New Zealand,Oceania,2016,5.3,6.4,75.011,4.22,80.2
North Macedonia,Rest of Europe,2019,9.2,10.4,106.0775,2.06,75
Jamaica,Central America and Caribbean,2020,15.1,17.5,137.7585,2.83,74
Bolivia,South America,2015,25.4,31.3,184.52,10.87,70.3
Myanmar,Asia,2019,48.8,63.7,208.6165,50.6,63.5
Slovak Republic,European Union,2023,6.8,8.2,139.5745,5.37,73.9
Azerbaijan,Asia,2022,26.7,30.3,129.6915,9.42,71.8
Papua New Guinea,Oceania,2020,52.1,68.8,265.5145,6.1,59.7
Tonga,Oceania,2019,11.3,13.2,142.208,0.1,70.1
El Salvador,Central America and Caribbean,2019,26,31.3,218.122,5.93,69.2
Ireland,European Union,2015,3.2,3.7,61.0195,4.7,81.5
Canada,North America,2023,5.2,6.1,75.7275,32.24,80.2
Mongolia,Asia,2018,48.6,63.5,268.2505,2.4,62.9
Croatia,European Union,2023,4.3,5,92.863,4.24,77.5
"Venezuela, RB",South America,2020,17.4,20.3,157.644,25.1,72.5
Switzerland,Rest of Europe,2018,4,4.6,59.034,7.74,82
Burkina Faso,Africa,2023,80.8,153.1,305.8365,13.42,53.3
Lesotho,Africa,2022,71,92.6,523.0825,2.03,48.7
Colombia,South America,2021,14.7,17.1,144.2095,46.08,75.9
Morocco,Africa,2018,28.4,33,87.1205,31.93,74
Austria,European Union,2018,4.6,5.5,94.882,8.01,78.1
Chile,South America,2020,7.3,8.5,94.631,17.23,79
Niger,Africa,2017,67.9,139.3,273.319,15.25,55.8
El Salvador,Central America and Caribbean,2015,20.2,23.8,206.0165,6.08,70.3
France,European Union,2022,3.4,4.8,92.3955,62.7,80.2
Nicaragua,Central America and Caribbean,2019,29.9,36.5,193.7615,5.15,69.9
Dominican Republic,Central America and Caribbean,2016,29.3,35.7,174.858,9.34,71.3
North Macedonia,Rest of Europe,2017,10.3,11.7,110.659,2.05,74.4
Kuwait,Middle East,2021,8.2,9.6,61.6325,3.35,74.7
Samoa,Oceania,2015,16.5,19.3,148.0145,0.18,70.6
United Arab Emirates,Middle East,2022,8.6,10.1,86.7395,4.07,75.2
Uzbekistan,Asia,2016,32.2,37,173.085,26.87,68.9
Croatia,European Union,2015,4.2,4.9,90.2285,4.2,77.3
Malta,European Union,2018,5.9,6.7,56.4985,0.41,80.2
Estonia,European Union,2023,2.6,3.3,123.2,1.31,77
"Bahamas, The",Central America and Caribbean,2015,14.3,16.7,176.668,0.33,72
Botswana,Africa,2018,45.2,80.5,561.532,1.64,50.6
Sri Lanka,Asia,2016,11,12.8,127.15,19.84,75
Netherlands,European Union,2015,4.3,5.1,70.055,16.35,79.7
Sri Lanka,Asia,2019,9.8,11.4,120.153,20.26,75.4
Tonga,Oceania,2018,11.5,13.4,143.8305,0.1,70
Malaysia,Asia,2017,6.9,8.1,128.5065,27.24,74.1
Nicaragua,Central America and Caribbean,2022,26,31.3,181.9365,5.36,70.9
Armenia,Rest of Europe,2021,23.3,26.3,139.9,3.02,72.3
St. Vincent and the Grenadines,Central America and Caribbean,2015,18.8,21.3,170.3485,0.11,71.4
Eritrea,Africa,2019,53.8,81.1,371.292,2.37,55.9
Bangladesh,Asia,2015,47,61,150.565,140.92,68.2
Malawi,Africa,2023,39.2,57.6,305.0855,16.29,61
Kyrgyz Republic,Asia,2015,19.9,22.3,165.7935,5.96,70.7
Nigeria,Africa,2022,81,129.4,364.4625,171.77,52.2
Austria,European Union,2018,3.7,4.5,76.57,8.34,80.3
Serbia,Rest of Europe,2016,7,8.1,137.2965,7.38,73.6
Honduras,Central America and Caribbean,2021,18.4,21.5,150.585,8.64,73.8
Dominican Republic,Central America and Caribbean,2015,29.5,36,176.789,9.22,71
Zambia,Africa,2021,49.1,74.7,323.004,14.47,58.5
Brunei Darussalam,Asia,2023,8.6,10.4,89.377,0.41,75.2
Ethiopia,Africa,2016,62.8,97,306.7815,80.67,58.5
Sao Tome and Principe,Central America and Caribbean,2019,27.6,36.1,197.987,0.18,67.4
Switzerland,Rest of Europe,2015,3.7,4.3,49.384,8.28,82.9
Albania,Rest of Europe,2023,8.8,9.9,76.724,2.89,77.8
Kiribati,Oceania,2020,50,65.5,217.1505,0.09,63.7
Kiribati,Oceania,2021,47.8,62.1,204.6575,0.11,66.4
Cameroon,Africa,2021,64.2,101.3,356.5925,21.49,56.1
Lao PDR,Asia,2023,43.8,56.3,199.529,6.64,66.1
Guatemala,Central America and Caribbean,2015,23.7,28.3,163.8125,15.57,73.3
Algeria,Africa,2021,31.3,36.5,127.5385,32.26,72.1
Moldova,Rest of Europe,2018,15,17.4,207.4875,2.86,69.1
Estonia,European Union,2021,6.7,8.5,199.678,1.37,71.3
Qatar,Middle East,2015,6.7,7.8,56.2695,2.57,79.8
Madagascar,Africa,2018,67.5,105.4,280.972,15.77,58.5
"Egypt, Arab Rep.",Africa,2019,24,28.7,160.261,82.76,70.3
Guyana,South America,2023,33.4,41.4,223.5645,0.75,66.7
Tajikistan,Asia,2018,38.1,44.3,146.4255,7.36,68.4
Mauritania,Africa,2015,55,82.7,203.5835,4.05,63.9
Kazakhstan,Asia,2021,14.6,16.3,216.56,16.79,69.5
Papua New Guinea,Oceania,2019,52.8,69.9,269.8105,5.97,59.5
